frame_index,lost
1,0
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,0
18,0
19,1
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,0
31,1
32,1
33,0
34,0
35,1
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,1
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,1
97,1
98,0
99,1
100,1
101,1
102,1
103,0
104,0
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,1
138,1
139,0
140,0
141,0
142,0
143,1
144,1
145,0
146,0
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,0
163,0
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,1
187,1
188,1
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,1
199,1
200,1
201,0
202,1
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,0
212,1
213,0
214,1
215,0
216,1
217,1
218,1
219,0
220,0
221,0
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,0
242,0
243,1
244,0
245,0
246,1
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,1
260,1
261,0
262,0
263,1
264,0
265,1
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,1
275,0
276,1
277,0
278,1
279,0
