dataset,method,source_video,loss_rate_percent,frame_count,lost_frames,output_video,mask_csv,width,height,fps
vr,ours,/gpfs/home/zlin/topic/lrc_laq_semantic_codec_vr_s15_output.mp4,0,812,0,/gpfs/home/zlin/topic/robustness_results/videos/vr_ours_loss_0.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_0.csv,512,512,30/1
vr,h264,/gpfs/home/zlin/topic/vr_h264_200k.mp4,0,812,0,/gpfs/home/zlin/topic/robustness_results/videos/vr_h264_loss_0.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_0.csv,512,512,30/1
vr,vp9,/gpfs/home/zlin/topic/vr_vp9_200k.mp4,0,812,0,/gpfs/home/zlin/topic/robustness_results/videos/vr_vp9_loss_0.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_0.csv,512,512,30/1
vr,ours,/gpfs/home/zlin/topic/lrc_laq_semantic_codec_vr_s15_output.mp4,10,812,81,/gpfs/home/zlin/topic/robustness_results/videos/vr_ours_loss_10.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_10.csv,512,512,30/1
vr,h264,/gpfs/home/zlin/topic/vr_h264_200k.mp4,10,812,81,/gpfs/home/zlin/topic/robustness_results/videos/vr_h264_loss_10.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_10.csv,512,512,30/1
vr,vp9,/gpfs/home/zlin/topic/vr_vp9_200k.mp4,10,812,81,/gpfs/home/zlin/topic/robustness_results/videos/vr_vp9_loss_10.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_10.csv,512,512,30/1
vr,ours,/gpfs/home/zlin/topic/lrc_laq_semantic_codec_vr_s15_output.mp4,20,812,162,/gpfs/home/zlin/topic/robustness_results/videos/vr_ours_loss_20.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_20.csv,512,512,30/1
vr,h264,/gpfs/home/zlin/topic/vr_h264_200k.mp4,20,812,162,/gpfs/home/zlin/topic/robustness_results/videos/vr_h264_loss_20.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_20.csv,512,512,30/1
vr,vp9,/gpfs/home/zlin/topic/vr_vp9_200k.mp4,20,812,162,/gpfs/home/zlin/topic/robustness_results/videos/vr_vp9_loss_20.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_20.csv,512,512,30/1
vr,ours,/gpfs/home/zlin/topic/lrc_laq_semantic_codec_vr_s15_output.mp4,30,812,244,/gpfs/home/zlin/topic/robustness_results/videos/vr_ours_loss_30.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_30.csv,512,512,30/1
vr,h264,/gpfs/home/zlin/topic/vr_h264_200k.mp4,30,812,244,/gpfs/home/zlin/topic/robustness_results/videos/vr_h264_loss_30.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_30.csv,512,512,30/1
vr,vp9,/gpfs/home/zlin/topic/vr_vp9_200k.mp4,30,812,244,/gpfs/home/zlin/topic/robustness_results/videos/vr_vp9_loss_30.mp4,/gpfs/home/zlin/topic/robustness_results/masks/vr_frame_update_loss_30.csv,512,512,30/1
